"Variable","Noise","beta_S","beta_P","mean","error"
"Error",0.5,6,2,0.1419,0.00348964994887404
"Error",0.5,6,2.5,0.1254,0.00331188478937384
"Error",0.5,6,3,0.12,0.00324977785480955
"Error",0.5,6,3.5,0.1099,0.00312780711005838
"Error",0.5,6,4,0.0948,0.00292953139860653
"Error",0.5,6,4.5,0.0919,0.00288899180119341
"Error",0.5,6,5,0.0756,0.00264370250147244
"Error",0.5,6,5.5,0.0761,0.0026517130610637
"Error",0.5,6,6,0.0752,0.0026372697092167
"Error",0.5,6,6.5,0.0642,0.00245121130131296
"Error",0.5,6,7,0.0894,0.00285334508214758
"Error",0.5,6,7.5,0.0838,0.00277101494986679
"Error",0.5,6,8,0.0966,0.00295427093741877
"Error",0.5,6,8.5,0.1274,0.00333437187541827
"Error",0.5,6,9,0.1023,0.00303057576030429
"Error",0.5,6,9.5,0.1466,0.00353724401328505
"Error",0.5,6,10,0.218,0.00412908039767853
"Error",0.5,6.5,1,0.1798,0.00384039983166945
"Error",0.5,6.5,1.5,0.1613,0.00367825827782605
"Error",0.5,6.5,2,0.154,0.00360966798615843
"Error",0.5,6.5,2.5,0.1387,0.00345650484486486
"Error",0.5,6.5,3,0.1141,0.0031794857938024
"Error",0.5,6.5,3.5,0.1097,0.0031253108256261
"Error",0.5,6.5,4,0.1046,0.0030605262099953
"Error",0.5,6.5,4.5,0.0905,0.00286911104347984
"Error",0.5,6.5,5,0.0834,0.00276499702004398
"Error",0.5,6.5,5.5,0.0933,0.00290866928950398
"Error",0.5,6.5,6,0.0697,0.00254653479928086
"Error",0.5,6.5,6.5,0.0656,0.00247593962521358
"Error",0.5,6.5,7,0.0635,0.00243872297257677
"Error",0.5,6.5,7.5,0.0824,0.0027498691201615
"Error",0.5,6.5,8,0.079,0.0026975225045894
"Error",0.5,6.5,8.5,0.0988,0.00298408218295801
"Error",0.5,6.5,9,0.0878,0.0028301796748085
"Error",0.5,6.5,9.5,0.1253,0.00331075325397573
"Error",0.5,6.5,10,0.1165,0.00320839592015045
"Error",0.5,7,1,0.1809,0.00384954554461822
"Error",0.5,7,1.5,0.1668,0.00372815851548612
"Error",0.5,7,2,0.1385,0.00345441287295391
"Error",0.5,7,2.5,0.1375,0.00344391652862052
"Error",0.5,7,3,0.1233,0.00328797689760861
"Error",0.5,7,3.5,0.113,0.00316608629229227
"Error",0.5,7,4,0.0982,0.00297599759008061
"Error",0.5,7,4.5,0.0908,0.002873388528578
"Error",0.5,7,5,0.0804,0.00271925052769016
"Error",0.5,7,5.5,0.0729,0.0025998528657392
"Error",0.5,7,6,0.0698,0.00254822395886516
"Error",0.5,7,6.5,0.07,0.00255159774751165
"Error",0.5,7,7,0.0695,0.00254315193454426
"Error",0.5,7,7.5,0.0728,0.00259820920426106
"Error",0.5,7,8,0.0877,0.0028287225327198
"Error",0.5,7,8.5,0.086,0.00280378068304421
"Error",0.5,7,9,0.0786,0.00269126890013415
"Error",0.5,7,9.5,0.1395,0.00346484855622172
"Error",0.5,7,10,0.104,0.00305275808625468
"Error",0.5,7.5,1,0.1787,0.00383120070080921
"Error",0.5,7.5,1.5,0.1595,0.00366160015998104
"Error",0.5,7.5,2,0.1508,0.00357871718939513
"Error",0.5,7.5,2.5,0.134,0.00340669349311845
"Error",0.5,7.5,3,0.1195,0.00324392159318475
"Error",0.5,7.5,3.5,0.1079,0.00310269587168437
"Error",0.5,7.5,4,0.1003,0.00300414604993648
"Error",0.5,7.5,4.5,0.0943,0.00292260246364709
"Error",0.5,7.5,5,0.0827,0.00275442002660602
"Error",0.5,7.5,5.5,0.0834,0.00276499702004398
"Error",0.5,7.5,6,0.0652,0.00246890776469172
"Error",0.5,7.5,6.5,0.0747,0.00262919802757929
"Error",0.5,7.5,7,0.0747,0.00262919802757929
"Error",0.5,7.5,7.5,0.0709,0.00256670563130636
"Error",0.5,7.5,8,0.0674,0.0025072599855746
"Error",0.5,7.5,8.5,0.0665,0.00249166527438658
"Error",0.5,7.5,9,0.0918,0.00288757853762995
"Error",0.5,7.5,9.5,0.0836,0.00276800834301826
"Error",0.5,7.5,10,0.1238,0.00329369713909528
"Error",0.5,8,1,0.1728,0.0037809318354811
"Error",0.5,8,1.5,0.1669,0.003729052102473
"Error",0.5,8,2,0.1532,0.00360198187493257
"Error",0.5,8,2.5,0.1361,0.00342911867474553
"Error",0.5,8,3,0.125,0.00330735451069067
"Error",0.5,8,3.5,0.1128,0.00316363981225521
"Error",0.5,8,4,0.1122,0.00315628138974033
"Error",0.5,8,4.5,0.1021,0.00302794911575224
"Error",0.5,8,5,0.082,0.0027437844002916
"Error",0.5,8,5.5,0.0737,0.00261295115747982
"Error",0.5,8,6,0.0702,0.00255496551539908
"Error",0.5,8,6.5,0.0687,0.00252955942153702
"Error",0.5,8,7,0.0718,0.00258169372975406
"Error",0.5,8,7.5,0.0572,0.00232235986348661
"Error",0.5,8,8,0.0833,0.00276348958519274
"Error",0.5,8,8.5,0.0726,0.0025949176017238
"Error",0.5,8,9,0.0735,0.00260968504720485
"Error",0.5,8,9.5,0.0893,0.00285190538700597
"Error",0.5,8,10,0.085,0.00278895640478348
"Error",0.5,8.5,1,0.1746,0.00379643586703756
"Error",0.5,8.5,1.5,0.1599,0.00366531614656163
"Error",0.5,8.5,2,0.1469,0.00354023902148328
"Error",0.5,8.5,2.5,0.1396,0.0034658888093134
"Error",0.5,8.5,3,0.1343,0.00340991403870759
"Error",0.5,8.5,3.5,0.1122,0.00315628138974033
"Error",0.5,8.5,4,0.1029,0.00303843417046031
"Error",0.5,8.5,4.5,0.0977,0.00296923435169128
"Error",0.5,8.5,5,0.0874,0.00282434447123031
"Error",0.5,8.5,5.5,0.0837,0.0027695122349977
"Error",0.5,8.5,6,0.0745,0.00262595974197181
"Error",0.5,8.5,6.5,0.072,0.00258500836107404
"Error",0.5,8.5,7,0.0712,0.00257171486983631
"Error",0.5,8.5,7.5,0.0672,0.00250380568421162
"Error",0.5,8.5,8,0.062,0.0024116761014203
"Error",0.5,8.5,8.5,0.0622,0.00241530523328564
"Error",0.5,8.5,9,0.0648,0.00246184931915156
"Error",0.5,8.5,9.5,0.0753,0.00263887994587417
"Error",0.5,8.5,10,0.0695,0.00254315193454426
"Error",0.5,9,1,0.1811,0.00385120269217521
"Error",0.5,9,1.5,0.1679,0.00373796150804467
"Error",0.5,9,2,0.1555,0.00362398790406824
"Error",0.5,9,2.5,0.1401,0.0034710810766077
"Error",0.5,9,3,0.1304,0.00336759826461043
"Error",0.5,9,3.5,0.1123,0.00315750977620002
"Error",0.5,9,4,0.1066,0.00308619449478576
"Error",0.5,9,4.5,0.0994,0.00299213289910869
"Error",0.5,9,5,0.0931,0.00290587050784112
"Error",0.5,9,5.5,0.0841,0.00277551605092367
"Error",0.5,9,6,0.0837,0.0027695122349977
"Error",0.5,9,6.5,0.0795,0.002705310863965
"Error",0.5,9,7,0.0654,0.00247242700388281
"Error",0.5,9,7.5,0.0671,0.00250207614562464
"Error",0.5,9,8,0.0644,0.00245476405926489
"Error",0.5,9,8.5,0.0669,0.00249861227611061
"Error",0.5,9,9,0.0664,0.00248992449130435
"Error",0.5,9,9.5,0.0591,0.00235823559626954
"Error",0.5,9,10,0.0614,0.00240074579204792
"Error",0.5,9.5,1,0.181,0.00385037433741887
"Error",0.5,9.5,1.5,0.162,0.00368469234750604
"Error",0.5,9.5,2,0.1557,0.0036258882644906
"Error",0.5,9.5,2.5,0.1477,0.00354820094879043
"Error",0.5,9.5,3,0.123,0.0032845363170289
"Error",0.5,9.5,3.5,0.1184,0.00323097321542471
"Error",0.5,9.5,4,0.1106,0.00313651841613874
"Error",0.5,9.5,4.5,0.095,0.00293229600074474
"Error",0.5,9.5,5,0.0932,0.00290727040746509
"Error",0.5,9.5,5.5,0.0854,0.00279489984552482
"Error",0.5,9.5,6,0.0801,0.00271461524227493
"Error",0.5,9.5,6.5,0.0716,0.00257837328579089
"Error",0.5,9.5,7,0.0606,0.00238607068908977
"Error",0.5,9.5,7.5,0.0645,0.002456537900755
"Error",0.5,9.5,8,0.0696,0.00254484412551384
"Error",0.5,9.5,8.5,0.0673,0.00250553362976373
"Error",0.5,9.5,9,0.0618,0.00240803983887031
"Error",0.5,9.5,9.5,0.0602,0.00237868909615814
"Error",0.5,9.5,10,0.0586,0.00234886264297672
"Error",0.5,10,1,0.1803,0.00384456357300887
"Error",0.5,10,1.5,0.1603,0.0036690240083321
