"Variable","Noise","switch_rate","beta_S","beta_P","mean","error"
"Error",0,0.01,4,10,0.4816,0.00499686310239598
"Error",0,0.01,4.5,1,0.0916,0.00288474889333851
"Error",0,0.01,4.5,1.5,0.0706,0.00256168308383809
"Error",0,0.01,4.5,2,0.057,0.0023185421203326
"Error",0,0.01,4.5,2.5,0.0492,0.00216296182129598
"Error",0,0.01,4.5,3,0.0427,0.0020219000489591
"Error",0,0.01,4.5,3.5,0.0426,0.00201963657453249
"Error",0,0.01,4.5,4,0.0501,0.00218162209089813
"Error",0,0.01,4.5,4.5,0.0735,0.00260968504720485
"Error",0,0.01,4.5,5,0.0753,0.00263887994587417
"Error",0,0.01,4.5,5.5,0.1099,0.00312780711005838
"Error",0,0.01,4.5,6,0.1626,0.00369018776603235
"Error",0,0.01,4.5,6.5,0.1681,0.00373973763301069
"Error",0,0.01,4.5,7,0.2599,0.00438601444505957
"Error",0,0.01,4.5,7.5,0.2774,0.00447737966816187
"Error",0,0.01,4.5,8,0.337,0.00472708520480151
"Error",0,0.01,4.5,8.5,0.3765,0.00484531967080308
"Error",0,0.01,4.5,9,0.5473,0.00497782571760879
"Error",0,0.01,4.5,9.5,0.5937,0.00491166401989636
"Error",0,0.01,4.5,10,0.4436,0.00496833698909844
"Error",0,0.01,5,1,0.0779,0.0026802756178682
"Error",0,0.01,5,1.5,0.0581,0.0023394414501393
"Error",0,0.01,5,2,0.0448,0.0020687493739932
"Error",0,0.01,5,2.5,0.0385,0.00192409594732733
"Error",0,0.01,5,3,0.0344,0.0018226344119488
"Error",0,0.01,5,3.5,0.0424,0.0020151005094055
"Error",0,0.01,5,4,0.0358,0.00185800463350386
"Error",0,0.01,5,4.5,0.0462,0.00209928480670679
"Error",0,0.01,5,5,0.0463,0.00210144536147403
"Error",0,0.01,5,5.5,0.0929,0.00290306764994859
"Error",0,0.01,5,6,0.132,0.00338507693776485
"Error",0,0.01,5,6.5,0.1561,0.00362968269407203
"Error",0,0.01,5,7,0.2307,0.00421301862713604
"Error",0,0.01,5,7.5,0.3008,0.00458628819460142
"Error",0,0.01,5,8,0.3657,0.00481649985644002
"Error",0,0.01,5,8.5,0.4274,0.00494725899232633
"Error",0,0.01,5,9,0.4315,0.00495310289847004
"Error",0,0.01,5,9.5,0.421,0.00493744243852861
"Error",0,0.01,5,10,0.4422,0.00496672757842463
"Error",0,0.01,5.5,1,0.0791,0.00269908271543324
"Error",0,0.01,5.5,1.5,0.0527,0.00223445077749046
"Error",0,0.01,5.5,2,0.041,0.0019830010663948
