RT,block_id,session_id,part_index,ID
0.331629952139679,10,5,2,6
1.4186806538391,10,5,2,6
0.171778610862034,10,5,2,6
0.466233078726464,10,5,2,6
0.666047255323519,10,5,2,6
1.31877356554057,10,5,2,6
0.779275288728518,10,5,2,6
0.958010106792262,1,1,3,13
0.993274282502407,1,1,3,13
0.646509888019318,1,1,3,13
0.599490987072459,1,1,3,13
0.634755162782603,1,1,3,13
0.840462854425114,1,1,3,13
0.681774063729463,1,1,3,13
0.605368349690816,1,1,3,13
0.43492483375845,1,1,3,13
0.552472086125599,1,1,3,13
0.617123074927531,1,1,3,13
0.787566590859897,1,1,3,13
0.528962635652169,1,1,3,13
0.48194373470531,1,1,3,13
0.670019338492748,1,1,3,13
0.652387250637676,2,1,3,13
0.693528788966178,2,1,3,13
0.769934503004824,2,1,3,13
0.587736261835744,2,1,3,13
0.699406151584535,2,1,3,13
0.605368349690816,2,1,3,13
0.523085273033812,2,1,3,13
0.617123074927531,2,1,3,13
0.675896701111105,2,1,3,13
0.899236480608688,2,1,3,13
0.699406151584535,2,1,3,13
0.705283514202893,2,1,3,13
0.934500656318833,2,1,3,13
0.693528788966178,3,1,3,13
0.66414197587439,3,1,3,13
0.534839998270527,3,1,3,13
0.764057140386467,3,1,3,13
0.94037801893719,3,1,3,13
0.73467032729468,3,1,3,13
0.675896701111105,3,1,3,13
1.05792527130434,3,1,3,13
0.94037801893719,3,1,3,13
0.68765142634782,4,1,3,13
0.658264613256033,4,1,3,13
0.840462854425114,4,1,3,13
0.717038239439607,4,1,3,13
0.775811865623182,4,1,3,13
1.16371779843477,4,1,3,13
0.793443953478254,4,1,3,13
0.934500656318833,4,1,3,13
0.764057140386467,4,1,3,13
0.846340217043471,5,1,3,13
0.73467032729468,5,1,3,13
0.628877800164246,5,1,3,13
0.646509888019318,5,1,3,13
0.764057140386467,5,1,3,13
0.816953403951684,5,1,3,13
0.728792964676322,5,1,3,13
0.722915602057965,5,1,3,13
0.846340217043471,5,1,3,13
0.752302415149752,5,1,3,13
1.27538768818356,5,1,3,13
0.0810105443381508,5,1,3,13
1.13433098534299,5,1,3,13
1.02853845821255,5,1,3,13
0.917647058823529,1,2,3,13
0.341176470588235,2,2,3,13
0.282352941176471,2,2,3,13
1.66470588235294,2,2,3,13
1.14705882352941,2,2,3,13
1.09411764705882,2,2,3,13
1.34705882352941,3,2,3,13
0.747058823529412,3,2,3,13
1.6,3,2,3,13
1.32352941176471,3,2,3,13
1.08823529411765,3,2,3,13
1.44705882352941,3,2,3,13
1.25882352941176,3,2,3,13
0.747058823529412,3,2,3,13
0.729411764705882,3,2,3,13
1.31764705882353,3,2,3,13
0.658823529411765,3,2,3,13
0.558823529411765,3,2,3,13
1.36947080049673,4,2,3,13
0.192736440098961,4,2,3,13
1.37534835758041,4,2,3,13
0.934531576304635,4,2,3,13
1.00506226130876,4,2,3,13
1.11673584589862,4,2,3,13
0.952164247555666,4,2,3,13
1.1226134029823,4,2,3,13
0.628898607953433,4,2,3,13
1.01681737547611,4,2,3,13
0.658286393371818,4,2,3,13
1.22253187340481,4,2,3,13
